uri,hash,file,word_count,term_occurrences
www.independent.co.uk/news/uk/crime/isis-islamist-hackers-nhs-websites-cyber-attack-syrian-civil-war-images-islamic-state-a7567236.html,eb0ba593fbec45be4001ee46433713d25cb615fb,../data/words/eb0ba593fbec45be4001ee46433713d25cb615fb.txt,1281,1
www.independent.co.uk/news/world/europe/us-child-hacker-confess-cyber-attack-brussels-airport-isis-attack-pittsburgh-fbi-islamic-state-a7571161.html,df19e825fc38b7a0c4c9f5adea93c9a0948f6367,../data/words/df19e825fc38b7a0c4c9f5adea93c9a0948f6367.txt,1189,1
www.redmondpie.com/firm-that-helped-fbi-break-into-san-bernardino-iphone-gets-hacked-tools-leaked-online/,74ee2852ae0adb0dcedd9cb50913cfbe291f7f6d,../data/words/74ee2852ae0adb0dcedd9cb50913cfbe291f7f6d.txt,845,4
www.wired.com/2017/02/tom-bossert-trump-cybersecurity/,543fe6f1309fabf6a4e8cf220370cd7f81d876b7,../data/words/543fe6f1309fabf6a4e8cf220370cd7f81d876b7.txt,1807,2
www.redmondpie.com/firm-that-helped-fbi-break-into-san-bernardino-iphone-gets-hacked-tools-leaked-online/,74ee2852ae0adb0dcedd9cb50913cfbe291f7f6d,../data/words/74ee2852ae0adb0dcedd9cb50913cfbe291f7f6d.txt,845,4
www.alpinesecurity.com,c0e13006a28cf3a8f8a09d37479bcf6c2f29846d,../data/words/c0e13006a28cf3a8f8a09d37479bcf6c2f29846d.txt,479,3
www.bloomberg.com/features/2016-how-to-hack-an-election/,6d848ad239a403faa9e6eec774e5f04dd3d9b347,../data/words/6d848ad239a403faa9e6eec774e5f04dd3d9b347.txt,5006,2
www.generation-nt.com/nsa-harold-martin-vol-outils-hacking-tao-actualite-1939093.html,61b814f84bfbc8d437fb16e15df5901fbda3a6e3,../data/words/61b814f84bfbc8d437fb16e15df5901fbda3a6e3.txt,1355,6
www.rtinsights.com/blockchain-technology-and-iot-security/,7982f059c834722e29cf2a4ab6bdacfb3af5f1f6,../data/words/7982f059c834722e29cf2a4ab6bdacfb3af5f1f6.txt,1246,1
www.itspmagazine.com,ffce5e0f08d9fe92b83f351b64b2b06b6d4bb4fe,../data/words/ffce5e0f08d9fe92b83f351b64b2b06b6d4bb4fe.txt,19812,14
